timestamp,device_id,battery,temperature,lat,lon
2025-11-28T06:43:33.699207+00:00,sim-001,92.4,28.26,17.447043,78.355658
2025-11-28T06:43:34.708086+00:00,sim-001,92.26,29.47,17.447262,78.355568
2025-11-28T06:43:35.792756+00:00,sim-001,92.11,29.16,17.446657,78.355713
2025-11-28T06:43:36.799366+00:00,sim-001,91.98,30.26,17.446516,78.355945
2025-11-28T06:43:37.807587+00:00,sim-001,91.84,28.59,17.446584,78.356293
2025-11-28T06:43:38.814625+00:00,sim-001,91.66,30.49,17.447227,78.356316
2025-11-28T06:43:39.821711+00:00,sim-001,91.59,29.87,17.447068,78.355508
2025-11-28T06:43:40.830315+00:00,sim-001,91.57,28.57,17.447249,78.355858
2025-11-28T06:43:41.837960+00:00,sim-001,91.41,28.4,17.446684,78.356172
2025-11-28T06:43:42.846859+00:00,sim-001,91.41,28.62,17.446597,78.356149
2025-11-28T06:43:43.853946+00:00,sim-001,91.4,31.4,17.446757,78.355821
2025-11-28T06:43:44.863411+00:00,sim-001,91.23,30.08,17.446719,78.355782
2025-11-28T06:43:45.870455+00:00,sim-001,91.14,30.51,17.447048,78.355753
2025-11-28T06:43:46.886068+00:00,sim-001,91.06,29.26,17.446905,78.355573
2025-11-28T06:43:47.893834+00:00,sim-001,91.04,28.97,17.447449,78.356051
2025-11-28T06:43:48.910395+00:00,sim-001,90.9,29.01,17.446915,78.35562
2025-11-28T06:43:49.918367+00:00,sim-001,90.73,31.12,17.447336,78.356293
2025-11-28T06:43:50.926923+00:00,sim-001,90.72,29.76,17.447169,78.356343
2025-11-28T06:43:51.934391+00:00,sim-001,90.53,28.22,17.447158,78.355979
2025-11-28T06:43:52.942937+00:00,sim-001,90.49,31.58,17.446609,78.355553
2025-11-28T06:43:53.950478+00:00,sim-001,90.39,30.03,17.447257,78.355507
2025-11-28T06:43:54.958543+00:00,sim-001,90.24,31.46,17.447047,78.355732
2025-11-28T06:43:55.965578+00:00,sim-001,90.18,28.63,17.447228,78.356131
2025-11-28T06:43:56.972645+00:00,sim-001,90.12,28.73,17.447174,78.355629
2025-11-28T06:43:57.980188+00:00,sim-001,90.01,31.9,17.447149,78.356086
2025-11-28T06:43:58.989401+00:00,sim-001,89.83,31.09,17.447421,78.356202
2025-11-28T06:43:59.995644+00:00,sim-001,89.76,31.26,17.447147,78.356182
2025-11-28T06:44:01.002290+00:00,sim-001,89.68,31.04,17.447321,78.356177
2025-11-28T06:44:02.010178+00:00,sim-001,89.53,28.63,17.447358,78.356273
2025-11-28T06:44:03.025550+00:00,sim-001,89.39,29.78,17.446802,78.355593
2025-11-28T06:44:04.032581+00:00,sim-001,89.28,30.22,17.447452,78.355616
2025-11-28T06:44:05.047812+00:00,sim-001,89.15,28.43,17.447146,78.356316
2025-11-28T06:44:06.054232+00:00,sim-001,89.08,29.37,17.446928,78.356394
2025-11-28T06:44:07.060259+00:00,sim-001,88.95,30.95,17.446542,78.356248
2025-11-28T06:44:08.067191+00:00,sim-001,88.91,29.85,17.446895,78.355821
2025-11-28T06:44:09.074509+00:00,sim-001,88.86,28.5,17.446567,78.355824
2025-11-28T06:44:10.083052+00:00,sim-001,88.71,29.7,17.447227,78.355672
2025-11-28T06:44:11.088601+00:00,sim-001,88.63,30.05,17.447197,78.3558
2025-11-28T06:44:12.095433+00:00,sim-001,88.5,29.31,17.446619,78.355789
2025-11-28T06:44:13.104732+00:00,sim-001,88.38,30.56,17.44664,78.355948
2025-11-28T06:44:14.112986+00:00,sim-001,88.35,28.85,17.44671,78.356062
2025-11-28T06:44:15.120005+00:00,sim-001,88.34,28.2,17.447111,78.356184
2025-11-28T06:44:16.126545+00:00,sim-001,88.25,29.92,17.44668,78.355691
2025-11-28T06:44:17.133108+00:00,sim-001,88.15,28.36,17.447302,78.356092
2025-11-28T06:44:18.140155+00:00,sim-001,88.1,30.73,17.447082,78.355648
2025-11-28T06:44:19.146700+00:00,sim-001,87.9,28.86,17.447141,78.356146
2025-11-28T06:44:20.153126+00:00,sim-001,87.71,28.51,17.447495,78.356269
2025-11-28T06:44:21.159677+00:00,sim-001,87.59,31.11,17.447045,78.356132
2025-11-28T06:44:22.167310+00:00,sim-001,87.5,30.98,17.446943,78.356354
2025-11-28T06:44:23.173219+00:00,sim-001,87.33,29.3,17.446545,78.35648
2025-11-28T06:44:24.180864+00:00,sim-001,87.18,30.19,17.447068,78.356313
